M;<html>At a dinner party one should eat wisely <br>but not too well,and talk well but not too wisely.<html>;
M;<html>It is a funny thing about life.<br>if you refuse to accept anything but the best,<br> you very often get it.<html>;
M;<html>It was such a lovely day I thought it a pity to get up.<html>;
M;<html>There are three rules for writing the novel.<br>Unfortunately, no one knows what they are.<html>;
M;<html>Tradition is a guide and not a jailer.<html>;
M;<html>We do not write because we want to.we write because we have to.<html>;
M;<html>When you have loved as she has loved,you grow old beautifully.<html>;
M;<html>People ask for criticism,but they only want praise.<html>;
M;<html>Follow your inclinations with due <br>regard to the policeman round the corner.<html>;
M;<html>He had heard people speak contemptuously of money:<br> he wondered if they had ever tried to do without it.<html>;
M;<html>I do not confer praise or blame:I accept. <br>I am the measure of all things.I am the centre of the world.<html>;
M;<html>It is cruel to discover one's mediocrity only when it is too late.<html>;
M;<html>Life wouldn't be worth living if I worried<br> over the futureas well as the present.<html>;
M;<html>Men seek but one thing in life - their pleasure.<html>;
M;<html>The important thing was to love rather than to be loved.<html>;
M;<html>The rain fell alike upon the just and upon the unjust,<br> and for nothing was there a why and a wherefore.<html>;
M;<html>There's always one who loves and one who lets himself be loved.<html>;
M;<html>When things are at their worst I find something always happens.<html>;
M;<html>Life isn't long enough for love and art.<html>;
M;<html>As if a woman ever loved a man for his virtue.<html>;
M;<html>I always find it more difficult to say the things<br> I mean than the things I don't.<html>;
M;<html>One can be very much in love with a woman <br>without wishing to spend the rest of one's life with her.<html>;
M;<html>One cannot find peace in work or in pleasure,<br> in the world or in a convent,but only in one's soul.<html>;
M;<html>There is only one way to win hearts and that is to make<br> oneself like unto those of whom one would be loved.<html>;
M;<html>Women are often under the impression <br>that men are much more madly in love <br>with them than they really are.<html>;
M;<html>A mother only does her children harm <br>if she makes them the only concern of her life.<html>;
M;<html>American women expect to find in their husbands a perfection<br> that English women only hope to find in their butlers.<html>;
M;<html>An author spends months writing a book,<br>and maybe puts his heart's blood into it, <br>and then it lies about unread till the reader <br>has nothing else in the world to do.<html>;
M;<html>I never spend more than one hour in a gallery.<br>That is as long as one's power of appreciation persists.<html>;
M;<html>It's always difficult to make conversation with a drunk, <br>and there's no denying it, <br>the sober are at a disadvantage with him.<html>;
M;<html>Often the best way to overcome desire is to satisfy it.<html>;
M;<html>The dead look so terribly dead when they're dead.<html>;
M;<html>The fact that a great many people believe <br>something is no guarantee of its truth.<html>;
M;<html>Unfortunately sometimes one can't do what <br>one thinks is right without making someone else unhappy.<html>;
M;<html>When you're eighteen your emotions are violent,<br> but they're not durable.<html>;
